,Date Played
0,20200726
1,20200726
2,20200726
3,20200726
4,20200726
5,20200726
6,20200726
7,20200726
8,20200726
9,20200726
10,20200726
11,20200726
12,20200726
13,20200726
14,20200726
15,20200726
16,20200726
17,20200726
18,20200726
19,20200726
20,20200726
21,20200726
22,20200726
23,20200726
24,20200726
25,20200726
26,20200726
27,20200726
28,20200726
29,20200726
30,20200726
31,20200726
32,20200726
33,20200726
34,20200726
35,20200726
36,20200726
37,20200726
38,20200726
39,20200726
40,20200726
41,20200726
42,20200726
43,20200726
44,20200726
45,20200726
46,20200726
47,20200726
48,20200726
49,20200726
50,20200726
51,20200726
52,20200726
53,20200726
54,20200726
55,20200726
56,20200726
57,20200726
58,20200726
59,20200726
60,20200726
61,20200726
62,20200726
63,20200726
64,20200726
65,20200726
66,20200726
67,20200726
68,20200726
69,20200726
70,20200726
71,20200726
72,20200726
73,20200726
74,20200726
75,20200726
76,20200726
77,20200726
78,20200726
79,20200726
80,20200726
81,20200726
82,20200726
83,20200726
84,20200726
85,20200726
86,20200726
87,20200726
88,20200726
89,20200726
90,20200726
91,20200726
92,20200726
93,20200726
94,20200726
95,20200726
96,20200726
97,20200726
98,20200726
99,20200726
100,20200726
101,20200726
102,20200726
103,20200726
104,20200726
105,20200726
106,20200726
107,20200726
108,20200726
109,20200726
110,20200726
111,20200726
112,20200726
113,20200726
114,20200726
115,20200726
116,20200726
117,20200726
118,20200726
119,20200726
120,20200726
121,20200726
122,20200726
123,20200726
124,20200726
125,20200726
126,20200726
127,20200726
128,20200726
129,20200726
130,20200726
131,20200726
132,20200726
133,20200726
134,20200726
135,20200726
136,20200726
137,20200726
138,20200726
139,20200726
140,20200726
141,20200726
142,20200726
143,20200726
144,20200726
145,20200726
146,20200726
147,20200726
148,20200726
149,20200726
150,20200726
151,20200726
152,20200726
153,20200726
154,20200726
155,20200726
156,20200726
157,20200726
158,20200726
159,20200726
160,20200726
161,20200726
162,20200726
163,20200726
164,20200727
165,20200727
166,20200727
167,20200727
168,20200727
169,20200727
170,20200727
171,20200727
172,20200727
173,20200727
174,20200727
175,20200727
176,20200727
177,20200727
178,20200727
179,20200727
180,20200727
181,20200727
182,20200727
183,20200727
184,20200727
185,20200727
186,20200727
187,20200727
188,20200727
189,20200727
190,20200727
191,20200727
192,20200727
193,20200727
194,20200727
195,20200727
196,20200727
197,20200727
198,20200727
199,20200727
200,20200727
201,20200728
202,20200728
203,20200728
204,20200728
205,20200728
206,20200728
207,20200728
208,20200728
209,20200728
210,20200728
211,20200728
212,20200728
213,20200728
214,20200728
215,20200728
216,20200728
217,20200729
218,20200729
219,20200729
220,20200729
221,20200729
222,20200729
223,20200729
224,20200729
225,20200729
226,20200729
227,20200729
228,20200729
229,20200729
230,20200729
231,20200729
232,20200729
233,20200729
234,20200729
235,20200729
236,20200729
237,20200729
238,20200729
239,20200729
240,20200729
241,20200729
242,20200730
243,20200730
244,20200730
245,20200730
246,20200730
247,20200730
248,20200730
249,20200730
250,20200730
251,20200730
252,20200730
253,20200730
254,20200730
255,20200730
256,20200730
257,20200730
258,20200730
259,20200730
260,20200730
261,20200730
262,20200730
263,20200730
264,20200730
265,20200730
266,20200730
267,20200730
268,20200730
269,20200730
270,20200730
271,20200730
272,20200730
273,20200730
274,20200730
275,20200730
276,20200730
277,20200730
278,20200730
279,20200730
280,20200730
281,20200730
282,20200730
283,20200730
284,20200730
285,20200730
286,20200730
287,20200730
288,20200730
289,20200730
290,20200730
291,20200730
292,20200730
293,20200730
294,20200730
295,20200730
296,20200730
297,20200730
298,20200730
299,20200730
300,20200730
301,20200730
302,20200730
303,20200730
304,20200730
305,20200730
306,20200730
307,20200730
308,20200730
309,20200730
310,20200730
311,20200730
312,20200730
313,20200730
314,20200730
315,20200730
316,20200730
317,20200730
318,20200730
319,20200730
320,20200730
321,20200730
322,20200730
323,20200730
324,20200730
325,20200730
326,20200730
327,20200730
328,20200730
329,20200730
330,20200731
331,20200731
332,20200731
333,20200731
334,20200731
335,20200731
336,20200731
337,20200731
338,20200731
339,20200731
340,20200731
341,20200731
342,20200731
343,20200731
344,20200731
345,20200731
346,20200731
347,20200731
348,20200731
349,20200731
350,20200731
351,20200731
352,20200731
353,20200731
354,20200731
355,20200731
356,20200731
357,20200731
358,20200731
359,20200731
360,20200731
361,20200731
362,20200731
363,20200731
364,20200731
365,20200731
366,20200731
367,20200731
368,20200731
369,20200731
370,20200731
371,20200731
372,20200731
373,20200731
374,20200731
375,20200731
376,20200731
377,20200731
378,20200731
379,20200731
380,20200731
381,20200731
382,20200731
383,20200731
384,20200731
385,20200731
386,20200731
387,20200731
388,20200731
389,20200731
390,20200731
391,20200731
392,20200731
393,20200731
394,20200731
395,20200731
396,20200731
397,20200731
398,20200731
399,20200731
400,20200731
401,20200731
402,20200731
403,20200731
404,20200731
405,20200731
406,20200731
407,20200731
408,20200731
409,20200731
410,20200731
411,20200731
412,20200731
413,20200731
414,20200731
415,20200731
416,20200731
417,20200731
418,20200731
419,20200731
420,20200731
421,20200731
422,20200731
423,20200731
424,20200731
425,20200731
426,20200731
427,20200731
428,20200731
429,20200731
430,20200731
431,20200731
432,20200731
433,20200731
434,20200731
435,20200731
436,20200731
437,20200731
438,20200731
439,20200731
440,20200731
441,20200731
442,20200731
443,20200731
444,20200731
445,20200731
446,20200731
447,20200731
448,20200731
449,20200731
450,20200731
451,20200731
452,20200731
453,20200731
454,20200731
455,20200731
456,20200731
457,20200731
458,20200731
459,20200731
460,20200731
461,20200731
462,20200731
463,20200731
464,20200731
465,20200731
466,20200731
467,20200731
468,20200731
469,20200731
470,20200731
471,20200731
472,20200731
473,20200731
474,20200731
475,20200731
476,20200731
477,20200731
478,20200731
479,20200731
480,20200731
481,20200731
482,20200731
483,20200731
484,20200731
485,20200731
486,20200731
487,20200731
488,20200731
489,20200731
490,20200731
491,20200731
492,20200731
493,20200801
494,20200801
495,20200801
496,20200801
497,20200801
498,20200801
499,20200801
500,20200801
501,20200801
502,20200801
503,20200801
504,20200801
505,20200801
506,20200801
507,20200801
508,20200801
509,20200801
510,20200801
511,20200801
512,20200801
513,20200801
514,20200801
515,20200802
516,20200802
517,20200802
518,20200802
519,20200802
520,20200802
521,20200802
522,20200802
523,20200802
524,20200802
525,20200802
526,20200802
527,20200802
528,20200802
529,20200802
530,20200802
531,20200802
532,20200802
533,20200802
534,20200802
535,20200802
536,20200802
537,20200802
538,20200802
539,20200802
540,20200802
541,20200802
542,20200802
543,20200802
544,20200802
545,20200802
546,20200802
547,20200802
548,20200802
549,20200802
550,20200802
551,20200802
552,20200802
553,20200802
554,20200803
555,20200803
556,20200803
557,20200803
558,20200803
559,20200803
560,20200803
561,20200803
562,20200803
563,20200803
564,20200803
565,20200803
566,20200803
567,20200803
568,20200803
569,20200803
570,20200803
571,20200803
572,20200803
573,20200803
574,20200803
575,20200803
576,20200803
577,20200803
578,20200803
579,20200803
580,20200803
581,20200803
582,20200803
583,20200803
584,20200803
585,20200803
586,20200803
587,20200803
588,20200803
589,20200803
590,20200803
591,20200803
592,20200803
593,20200803
594,20200803
595,20200803
596,20200803
597,20200804
598,20200804
599,20200804
600,20200804
601,20200804
602,20200804
603,20200804
604,20200804
605,20200804
606,20200804
607,20200804
608,20200804
609,20200804
610,20200804
611,20200804
612,20200804
613,20200804
614,20200804
615,20200804
616,20200804
617,20200804
618,20200804
619,20200804
620,20200804
621,20200804
622,20200804
623,20200804
624,20200804
625,20200804
626,20200804
627,20200804
628,20200804
629,20200804
630,20200804
631,20200804
632,20200805
633,20200805
634,20200805
635,20200805
636,20200805
637,20200805
638,20200805
639,20200805
640,20200805
641,20200805
642,20200805
643,20200805
644,20200805
645,20200805
646,20200805
647,20200805
648,20200805
649,20200805
650,20200805
651,20200805
652,20200805
653,20200805
654,20200805
